State,Year,Active Listing Count,Avg Listing Price
MD,2015,326284.0,390919.21135646687
ME,2015,170453.0,296209.2419522326
MI,2015,738547.0,215733.37894998756
MN,2015,330644.0,284723.1732776618
MO,2015,415881.0,203756.89612632617
MS,2015,158417.0,205130.28455284552
MT,2015,105925.0,468959.0740740741
NC,2015,961765.0,288063.0985915493
ND,2015,24446.0,299382.5396825397
NE,2015,52664.0,225829.3991416309
NH,2015,147414.0,329595.7100591716
NJ,2015,756058.0,482422.7288251366
NM,2015,130728.0,318822.0164609054
NV,2015,165088.0,446261.7252931323
NY,2015,968156.0,564230.0070397747
OH,2015,674637.0,185341.54247964357
OK,2015,196100.0,206281.6479400749
OR,2015,211966.0,407175.87548638135
PA,2015,843173.0,251869.53544115968
RI,2015,68549.0,432419.1964285714
SC,2015,517195.0,289903.28997704666
SD,2015,39311.0,272824.5495495495
TN,2015,526038.0,259703.35459484998
TX,2015,1099378.0,322001.0292669829
UT,2015,166505.0,406994.6638946639
VA,2015,578634.0,372917.4478213109
VT,2015,84998.0,329102.1892655367
WA,2015,265537.0,442657.4074074074
WI,2015,490863.0,240939.7168405365
WV,2015,86163.0,211542.45359160614
WY,2015,37127.0,419365.990990991
AK,2016,34157.0,326024.49494949495
AL,2016,372897.0,216538.77437325905
AR,2016,208626.0,203479.4513457557
AZ,2016,437599.0,344895.681511471
CA,2016,1035001.0,842959.917617237
CO,2016,294062.0,605821.9640644361
CT,2016,356174.0,534001.5151515151
DC,2016,14928.0,797794.298245614
DE,2016,90676.0,325134.5
FL,2016,1928202.0,411620.67027894844
GA,2016,908703.0,294368.3677370031
HI,2016,98845.0,1054351.9696969697
IA,2016,145317.0,214098.60248447204
ID,2016,130601.0,375382.7536231884
IL,2016,846624.0,261898.85003150598
IN,2016,341348.0,191359.75082634122
KS,2016,121369.0,228261.8398637138
KY,2016,201780.0,223221.556122449
LA,2016,185655.0,256877.5500910747
MA,2016,291456.0,625838.1228522337
MD,2016,292252.0,407786.76100628934
ME,2016,137863.0,300372.13001383125
MI,2016,611626.0,234351.34128166916
MN,2016,283667.0,304300.7175925926
MO,2016,372623.0,213113.60946745562
MS,2016,149588.0,211834.1463414634
MT,2016,95478.0,495423.51851851854
NC,2016,840893.0,305345.40343915345
ND,2016,31081.0,288676.98412698414
NE,2016,47339.0,245456.08974358975
NH,2016,121819.0,347499.1617357002
NJ,2016,709049.0,498725.8025956284
NM,2016,119730.0,322491.87242798356
NV,2016,196754.0,511191.5
NY,2016,872307.0,589501.1879619852
OH,2016,633385.0,194857.93103448275
OK,2016,194256.0,211211.7509363296
OR,2016,182447.0,448433.1174438687
PA,2016,732008.0,263365.06147540984
RI,2016,61430.0,444694.04761904763
SC,2016,488360.0,309259.094368341
SD,2016,37650.0,280425.2252252252
TN,2016,456110.0,279773.9406779661
TX,2016,1165331.0,336718.93776824034
UT,2016,138135.0,443097.58953168045
VA,2016,517356.0,385305.67207732995
VT,2016,76400.0,341279.7316384181
WA,2016,213946.0,485788.69248035917
WI,2016,437491.0,248604.1202672606
WV,2016,88564.0,218340.0641025641
WY,2016,42114.0,454888.73873873876
AK,2017,24620.0,330155.8922558923
AL,2017,251602.0,226698.88309754283
AR,2017,146236.0,212224.9827467219
AZ,2017,298539.0,367693.7022042285
CA,2017,688693.0,896470.3950147866
CO,2017,203702.0,647205.3283767039
CT,2017,228126.0,538830.5916305917
DC,2017,12410.0,872514.6198830409
DE,2017,60329.0,330296.8888888889
FL,2017,1377413.0,437267.4212993972
GA,2017,622375.0,305241.4373088685
HI,2017,62325.0,1158706.4646464647
IA,2017,103019.0,223281.91856452727
ID,2017,83381.0,424772.270531401
IL,2017,596684.0,272272.715816005
IN,2017,213996.0,208356.4701897019
KS,2017,86920.0,237666.13756613756
KY,2017,134257.0,236611.62131519275
LA,2017,139980.0,261967.57741347904
MA,2017,169844.0,669057.1141709696
MD,2017,198845.0,425070.90146750526
ME,2017,84070.0,315883.0336560627
MI,2017,362803.0,251584.68289451895
MN,2017,184466.0,325404.93827160494
MO,2017,254562.0,225122.0210664911
MS,2017,104479.0,217516.440831075
MT,2017,66847.0,534788.6419753087
NC,2017,528495.0,325616.57848324516
ND,2017,24148.0,288420.6349206349
NE,2017,32151.0,268468.66096866096
NH,2017,72926.0,366325.5752794214
NJ,2017,464601.0,513472.22222222225
NM,2017,82865.0,331977.77777777775
NV,2017,140385.0,539743.7777777778
NY,2017,585951.0,610412.7185263404
OH,2017,381337.0,208548.73366013073
OK,2017,146362.0,218951.6229712859
OR,2017,127225.0,475885.43465745536
PA,2017,489259.0,275470.8712811172
RI,2017,32316.0,493233.1349206349
SC,2017,332083.0,326567.12328767125
SD,2017,28748.0,283428.2282282282
TN,2017,292762.0,301768.0490103676
TX,2017,914897.0,341433.5717691941
UT,2017,92629.0,483889.34802571166
VA,2017,355635.0,397627.7656212011
VT,2017,49047.0,357627.1186440678
WA,2017,134510.0,531481.9678264123
WI,2017,279074.0,263650.18559762434
WV,2017,65609.0,219197.11538461538
WY,2017,31655.0,487109.009009009
